time,signal
16.55,702
16.55833,702
16.56667,703
16.575,703
16.58333,703
16.59167,703
16.6,703
16.60833,702
16.61667,702
16.625,702
16.63333,702
16.64167,702
16.65,702
16.65833,702
16.66667,703
16.675,703
16.68333,703
16.69167,703
16.7,702
16.70833,702
16.71667,702
16.725,702
16.73333,703
16.74167,703
16.75,703
16.75833,703
16.76667,703
16.775,703
16.78333,703
16.79167,703
16.8,703
16.80833,702
16.81667,702
16.825,702
16.83333,702
16.84167,702
16.85,702
16.85833,702
16.86667,702
16.875,702
16.88333,702
16.89167,702
16.9,702
16.90833,701
16.91667,701
16.925,701
16.93333,701
16.94167,701
16.95,701
16.95833,702
16.96667,702
16.975,702
16.98333,703
16.99167,703
17.0,703
